"","chamber","congress","year","party.mean.diff.d1","repub.dim1","dem.dim1"
"1","House",51,1889,0.722242011,1.278094216,0.555852205
"2","House",52,1891,NA,NA,0.555852205
"3","House",53,1893,0.094688017,0.650540222,0.555852205
"4","House",54,1895,0.3181910815,0.964317219,0.6461261375
"5","House",55,1897,NA,1.17385129333333,NA
"6","House",56,1899,NA,1.32152061275,NA
"7","House",57,1901,0.582518079,1.387323484,0.804805405
"8","House",58,1903,0.623444226178571,1.40987403942857,0.78642981325
"9","House",59,1905,0.7229915838,1.4498318062,0.7268402224
"10","House",60,1907,0.708767648415385,1.47188213761538,0.7631144892
"11","House",61,1909,0.67604955125,1.46230701,0.78625745875
"12","House",62,1911,0.714913499158333,1.5382065832,0.823293084041667
"13","House",63,1913,0.728633849883117,1.55811344912121,0.829479599238095
"14","House",64,1915,0.718176940843911,1.54677556663636,0.828598625792453
"15","House",65,1917,0.752688887680684,1.54199897932857,0.789310091647887
"16","House",66,1919,0.783955105234836,1.59306560561856,0.809110500383721
"17","House",67,1921,0.801009309497965,1.57751911963433,0.776509810136364
"18","House",68,1923,0.774806608260606,1.57679290326061,0.801986295
"19","House",69,1925,0.780228470246696,1.57905494762621,0.798826477379518
"20","House",70,1927,0.771426429046225,1.57531099123404,0.803884562187817
"21","House",71,1929,0.762528678477081,1.57413495263406,0.811606274156977
"22","House",72,1931,0.730115319311036,1.57123243090411,0.841117111593074
"23","House",73,1933,0.601733446710404,1.511083379375,0.909349932664596
"24","House",74,1935,0.534513803591993,1.45707308247273,0.922559278880734
"25","House",75,1937,0.585550205817508,1.49641768583505,0.910867480017544
"26","House",76,1939,0.701840265675815,1.57636684248603,0.874526576810219
"27","House",77,1941,0.697624975401516,1.54991689373965,0.852291918338129
"28","House",78,1943,0.677755071788997,1.50639651584163,0.828641444052632
"29","House",79,1945,0.718160405265807,1.49575176425381,0.777591358988
"30","House",80,1947,0.566002629350962,1.46010311788189,0.894100488530928
"31","House",81,1949,0.615564342129121,1.38137928284181,0.765814940712687
"32","House",82,1951,0.565490776941848,1.38626853863768,0.820777761695833
"33","House",83,1953,0.487611310739528,1.3673580815045,0.879746770764977
"34","House",84,1955,0.542596082271104,1.35632650552217,0.813730423251064
"35","House",85,1957,0.502632763682843,1.31697809327451,0.814345329591667
"36","House",86,1959,0.507778511853726,1.28098214051923,0.773203628665505
"37","House",87,1961,0.465395871234099,1.25843355454545,0.793037683311355
"38","House",88,1963,0.50835932184058,1.24805537981768,0.739696057977099
"39","House",89,1965,0.514172340764956,1.18850549121678,0.674333150451827
"40","House",90,1967,0.472545742952402,1.1896260731164,0.717080330164
"41","House",91,1969,0.510048187228583,1.19384817431658,0.683799987088
"42","House",92,1971,0.469755511457915,1.16806814964324,0.698312638185328
"43","House",93,1973,0.565677513165452,1.20159993072821,0.635922417562753
"44","House",94,1975,0.589706581993197,1.18953343423129,0.599826852238095
"45","House",95,1977,0.600861534690476,1.21211844356463,0.61125690887415
"46","House",96,1979,0.660229648041202,1.27294658122981,0.612716933188612
"47","House",97,1981,0.697377237801843,1.31211988928571,0.614742651483871
"48","House",98,1983,0.750725156732982,1.35965177599401,0.608926619261029
"49","House",99,1985,0.788268029511673,1.3936150785,0.605347048988327
"50","House",100,1987,0.775129740959295,1.38125400187151,0.606124260912214
"51","House",101,1989,0.770380648296646,1.37288960867778,0.602508960381132
"52","House",102,1991,0.781505357729412,1.38248353192941,0.6009781742
"53","House",103,1993,0.868548630895019,1.43303754215556,0.564488911260536
"54","House",104,1995,0.948022076787158,1.44937154790254,0.501349471115385
"55","House",105,1997,0.988479852608756,1.45419471089177,0.465714858283019
"56","House",106,1999,0.98024693126385,1.4568960554,0.47664912413615
"57","House",107,2001,1.00557729240052,1.47184294159211,0.466265649191589
"58","House",108,2003,1.02600127895047,1.4968217779697,0.470820499019231
"59","House",109,2005,1.05818949507071,1.50339092277021,0.445201427699507
"60","House",110,2007,1.03230999063532,1.53827535054854,0.505965359913223
"61","House",111,2009,0.98541393537626,1.56132056069945,0.575906625323194
"62","House",112,2011,1.1922138378699,1.5929495418449,0.400735703975
"63","House",113,2013,1.24601099106176,1.6290574334,0.383046442338235
"64","House",114,2015,1.29399300774598,1.63998196413546,0.345988956389474
"65","House",115,2017,1.30837162664427,1.6744432939759,0.366071667331633
"66","House",116,2019,1.34266949652706,1.71358274991124,0.370913253384181
"67","House",117,2021,1.34276398974156,1.71037406388971,0.367610074148148
